Brand,Model,Range(km),Long_distance_range(km),Battery(kWh),Weight(kg),Seating_capacity,Car_segment,Acceleration_time(0-100 Kmph[in seconds]),Efficiency(Wh/km),Fastcharge_power(kW),Towing_capacity(kg),Cargo_volume(L),Price_per_range(€),Germany_Price(€),Range_per_kWh,Charging_km_per_min,Price_per_kWh,Price_Category
Toyota,bZ4X FWD 73.1 kWh (MY25),385.0,423.0,69.0,2.025,5.0,C,7.4,179.0,110.0,750.0,452.0,127.0,47990.0,5.58,36.87,695.51,Mid-range (€30k–€60k)
XPENG,P7 RWD Long Range,495.0,554.0,82.7,2.095,5.0,E,6.7,167.0,138.0,750.0,440.0,102.0,49600.0,5.99,49.58,599.76,Mid-range (€30k–€60k)
Tesla,Model S P85D,390.0,393.0,80.8,2.262,5.0,F,3.3,207.0,95.0,750.0,895.0,300.0,115000.0,4.83,27.54,1423.27,Luxury (€90k–€150k)
Mitsubishi,Eclipse Cross 87 kWh  (MY26),480.0,479.0,87.0,1.901,5.0,C,7.9,181.0,95.0,750.0,545.0,95.0,44990.0,5.52,31.49,517.13,Mid-range (€30k–€60k)
Opel,Corsa-e (MY20-21),285.0,311.0,46.3,1.53,5.0,B,8.1,162.0,78.0,750.0,267.0,107.0,29900.0,6.16,28.89,645.79,Budget (<€30k)
Volkswagen,ID.5 Pro (MY24-25),460.0,508.0,77.0,2.13,5.0,C,6.7,167.0,120.0,750.0,549.0,117.0,48970.0,5.97,43.11,635.97,Mid-range (€30k–€60k)
Ford,Explorer Extended Range AWD,440.0,493.0,79.0,2.167,5.0,C,5.3,180.0,135.0,750.0,536.0,127.0,52430.0,5.57,45.0,663.67,Mid-range (€30k–€60k)
Leapmotor,C10 RWD 69.9 kWh,355.0,329.0,69.9,2.055,5.0,D,7.5,197.0,70.0,750.0,435.0,107.0,37600.0,5.08,21.32,537.91,Mid-range (€30k–€60k)
Audi,A6 Avant e-tron quattro,560.0,677.0,94.9,2.37,5.0,E,4.5,169.0,200.0,750.0,529.0,150.0,81450.0,5.9,71.01,858.27,Premium (€60k–€90k)
Kia,EV6 Long Range AWD,400.0,505.0,74.0,2.09,5.0,C,5.2,185.0,200.0,750.0,500.0,146.0,55980.0,5.41,64.86,756.49,Mid-range (€30k–€60k)
Leapmotor,B10 56.2 kWh,305.0,350.0,55.0,1.855,5.0,C,8.0,180.0,100.0,750.0,430.0,95.0,29900.0,5.55,33.33,543.64,Budget (<€30k)
Nissan,LEAF e+ 62 kWh (MY23-25),340.0,291.0,59.0,1.756,5.0,C,6.9,174.0,44.0,750.0,420.0,121.0,41100.0,5.76,15.17,696.61,Mid-range (€30k–€60k)
Tesla,Model 3 Long Range RWD,475.0,583.0,73.5,1.801,5.0,D,5.3,155.0,163.0,910.0,542.0,114.0,44990.0,6.46,63.1,612.11,Mid-range (€30k–€60k)
Alfa,Junior Elettrica 54 kWh,320.0,341.0,50.8,1.62,5.0,B,9.0,159.0,85.0,750.0,400.0,122.0,39500.0,6.3,32.08,777.56,Mid-range (€30k–€60k)
Lucid,Air Sapphire (MY25-26),610.0,693.0,118.0,2.495,5.0,F,2.0,193.0,190.0,750.0,910.0,414.0,250000.0,5.17,59.07,2118.64,Ultra-Luxury (>€150k)
Volkswagen,ID.3 1st,350.0,375.0,58.0,1.794,5.0,C,7.3,166.0,82.0,750.0,385.0,113.0,38987.0,6.03,29.64,672.19,Mid-range (€30k–€60k)
Volvo,XC40 Recharge Pure Electric (MY23),330.0,355.0,67.0,2.023,5.0,C,7.4,203.0,116.0,750.0,450.0,146.0,45080.0,4.93,34.29,672.84,Mid-range (€30k–€60k)
Volkswagen,ID.3 Pro (MY24-26),365.0,422.0,59.0,1.815,5.0,C,7.6,162.0,110.0,750.0,385.0,104.0,36425.0,6.19,40.74,617.37,Mid-range (€30k–€60k)
Volkswagen,ID.4 Pure (MY24-25),285.0,318.0,52.0,1.978,5.0,C,9.0,182.0,87.0,750.0,543.0,141.0,40335.0,5.48,28.68,775.67,Mid-range (€30k–€60k)
Volkswagen,e-Golf,125.0,133.0,20.5,1.585,5.0,C,10.4,164.0,41.0,750.0,380.0,270.0,34900.0,6.1,15.0,1702.44,Mid-range (€30k–€60k)
Toyota,bZ4X AWD 73.1 kWh (MY25),375.0,413.0,69.0,2.12,5.0,C,5.1,184.0,110.0,750.0,452.0,141.0,50990.0,5.43,35.87,738.99,Mid-range (€30k–€60k)
Nissan,LEAF 24 kWh (MY14-17),135.0,144.0,22.0,1.505,5.0,C,11.5,163.0,36.0,750.0,370.0,213.0,29690.0,6.14,13.25,1349.55,Budget (<€30k)
BMW,iX2 xDrive30,385.0,414.0,64.7,2.095,5.0,C,5.6,168.0,93.0,750.0,525.0,159.0,56500.0,5.95,33.21,873.26,Mid-range (€30k–€60k)
Tesla,Model S Long Range Plus,555.0,620.0,98.0,2.255,5.0,F,3.8,177.0,125.0,750.0,894.0,156.0,81990.0,5.66,42.37,836.63,Premium (€60k–€90k)
Opel,Mokka Electric,285.0,304.0,50.8,1.615,5.0,B,9.0,178.0,85.0,750.0,310.0,124.0,36740.0,5.61,28.65,723.23,Mid-range (€30k–€60k)
Mercedes-Benz,EQE SUV 350+ (MY23-24),475.0,503.0,96.0,2.49,5.0,E,6.9,202.0,141.0,750.0,520.0,186.0,86811.0,4.95,41.88,904.28,Premium (€60k–€90k)
XPENG,G6 AWD Performance (MY25),425.0,548.0,80.0,2.295,5.0,D,4.1,188.0,290.0,750.0,571.0,124.0,51600.0,5.31,92.55,645.0,Mid-range (€30k–€60k)
Kia,e-Niro 64 kWh,375.0,349.0,64.0,1.812,5.0,C,7.8,171.0,64.0,750.0,451.0,108.0,38105.0,5.86,22.46,595.39,Mid-range (€30k–€60k)
Ford,Explorer Standard Range RWD,305.0,338.0,52.0,1.908,5.0,C,8.7,170.0,85.0,750.0,536.0,141.0,42500.0,5.87,30.0,817.31,Mid-range (€30k–€60k)
Dongfeng,Box 31.4 kWh,190.0,205.0,29.0,1.251,5.0,B,12.5,153.0,50.0,750.0,326.0,124.0,44990.0,6.55,19.61,1551.38,Mid-range (€30k–€60k)
Audi,Q4 e-tron 50 quattro,385.0,418.0,76.6,2.21,5.0,C,6.2,199.0,115.0,750.0,520.0,168.0,57900.0,5.03,34.67,755.87,Mid-range (€30k–€60k)
Opel,Ampera-e,335.0,286.0,58.0,1.691,5.0,B,7.3,173.0,39.0,750.0,381.0,115.0,42990.0,5.78,13.53,741.21,Mid-range (€30k–€60k)
BMW,i4 M50,450.0,516.0,81.3,2.29,5.0,D,3.9,181.0,131.0,750.0,470.0,173.0,72100.0,5.54,43.43,886.84,Premium (€60k–€90k)
Polestar,2,390.0,419.0,75.0,2.198,5.0,D,4.7,192.0,108.0,750.0,440.0,150.0,57900.0,5.2,33.75,772.0,Mid-range (€30k–€60k)
GWM,ORA 03 48 kWh,260.0,247.0,45.4,1.615,5.0,C,8.3,175.0,45.0,750.0,228.0,123.0,26990.0,5.73,15.43,594.49,Budget (<€30k)
NIO,ET5 Long Range,500.0,494.0,90.0,2.235,5.0,E,4.0,180.0,100.0,750.0,386.0,140.0,68500.0,5.56,33.33,761.11,Premium (€60k–€90k)
Škoda,Enyaq iV 80x (MY21-23),425.0,467.0,77.0,2.193,5.0,C,6.9,181.0,115.0,750.0,585.0,126.0,49050.0,5.52,38.12,637.01,Mid-range (€30k–€60k)
Volkswagen,ID.7 Tourer Pro (MY24-25),470.0,535.0,77.0,2.191,5.0,E,6.6,164.0,125.0,750.0,605.0,117.0,54795.0,6.1,45.73,711.62,Mid-range (€30k–€60k)
Volkswagen,ID.3 GTX (MY24-26),470.0,526.0,79.0,1.985,5.0,C,5.9,168.0,135.0,750.0,385.0,106.0,47225.0,5.95,48.21,597.78,Mid-range (€30k–€60k)
Maxus,MIFA 9,360.0,340.0,84.0,2.485,7.0,N,9.2,233.0,103.0,750.0,521.0,200.0,68990.0,4.29,26.52,821.31,Premium (€60k–€90k)
Audi,A6 Avant e-tron,465.0,560.0,75.8,2.185,5.0,E,6.0,163.0,150.0,750.0,529.0,146.0,64450.0,6.13,55.21,850.26,Premium (€60k–€90k)
Volkswagen,e-Up!,205.0,188.0,32.3,1.235,4.0,A,11.9,158.0,30.0,750.0,250.0,118.0,21421.0,6.35,11.39,663.19,Budget (<€30k)
Nissan,LEAF 40 kWh (MY23-25),235.0,218.0,39.0,1.58,5.0,C,7.9,166.0,40.0,750.0,435.0,134.0,35900.0,6.03,14.46,920.51,Mid-range (€30k–€60k)
Peugeot,e-208 50 kWh (MY24),295.0,321.0,46.3,1.53,5.0,B,9.0,157.0,78.0,750.0,309.0,124.0,35975.0,6.37,29.81,777.0,Mid-range (€30k–€60k)
Tesla,Model 3 Performance,440.0,543.0,73.5,1.931,5.0,D,3.7,167.0,163.0,750.0,542.0,145.0,61480.0,5.99,58.56,836.46,Premium (€60k–€90k)
Mercedes-Benz,B 250e,150.0,106.0,28.0,1.725,5.0,C,7.9,187.0,0.0,750.0,501.0,256.0,39151.0,5.36,0.0,1398.25,Mid-range (€30k–€60k)
Hyundai,Kona Electric 48 kWh,295.0,288.0,48.4,1.69,5.0,B,8.8,164.0,50.0,300.0,493.0,135.0,41990.0,6.1,18.29,867.56,Mid-range (€30k–€60k)
Subaru,Solterra AWD,320.0,347.0,64.0,2.085,5.0,C,6.9,200.0,100.0,750.0,441.0,175.0,57490.0,5.0,30.0,898.28,Mid-range (€30k–€60k)
Porsche,Taycan,495.0,622.0,82.3,2.165,5.0,F,4.8,166.0,195.0,750.0,491.0,207.0,101500.0,6.01,70.48,1233.29,Luxury (€90k–€150k)
Mercedes-Benz,EQE 350+ (MY22-23),525.0,572.0,90.6,2.355,5.0,E,6.4,173.0,141.0,750.0,430.0,153.0,70626.0,5.79,48.9,779.54,Premium (€60k–€90k)
Kia,EV6 GT,395.0,488.0,80.0,2.22,5.0,C,3.5,203.0,205.0,750.0,500.0,175.0,69990.0,4.94,60.59,874.88,Premium (€60k–€90k)
Mercedes-Benz,EQA 250,360.0,368.0,66.5,2.04,5.0,C,8.9,185.0,100.0,750.0,340.0,144.0,47541.0,5.41,32.43,714.9,Mid-range (€30k–€60k)
MG,ZS EV Standard Range,265.0,257.0,49.0,1.645,5.0,B,8.6,185.0,50.0,500.0,448.0,133.0,33990.0,5.41,16.22,693.67,Mid-range (€30k–€60k)
MG,Cyberster GT,395.0,409.0,74.4,2.06,2.0,S,3.2,188.0,85.0,750.0,249.0,176.0,69990.0,5.31,27.13,940.73,Premium (€60k–€90k)
BMW,i3 60 Ah,115.0,133.0,18.8,1.27,4.0,B,7.2,163.0,41.0,750.0,260.0,297.0,34950.0,6.12,15.09,1859.04,Mid-range (€30k–€60k)
Volkswagen,ID.3 Pro Performance,350.0,375.0,58.0,1.812,5.0,C,7.3,166.0,82.0,750.0,385.0,129.0,43995.0,6.03,29.64,758.53,Mid-range (€30k–€60k)
Citroën,C5 Aircross Comfort Range,375.0,389.0,73.7,2.184,5.0,C,8.9,197.0,90.0,750.0,565.0,104.0,42590.0,5.09,27.41,577.88,Mid-range (€30k–€60k)
Jaguar,I-Pace EV400,380.0,354.0,84.7,2.226,5.0,D,4.8,223.0,85.0,750.0,532.0,235.0,92400.0,4.49,22.87,1090.91,Luxury (€90k–€150k)
Polestar,2 Long Range Single Motor (MY24),470.0,530.0,79.0,2.084,5.0,D,6.2,168.0,125.0,750.0,446.0,112.0,49975.0,5.95,44.64,632.59,Mid-range (€30k–€60k)
Mercedes-Benz,EQV 300 Long,320.0,297.0,90.0,2.625,7.0,N,12.1,281.0,96.0,750.0,385.0,267.0,62010.0,3.56,20.5,689.0,Premium (€60k–€90k)
BMW,i3s 120 Ah,230.0,214.0,37.9,1.365,4.0,B,6.9,165.0,47.0,750.0,260.0,183.0,42600.0,6.07,17.09,1124.01,Mid-range (€30k–€60k)
Smart,#1 Pro+,335.0,364.0,62.0,1.863,5.0,B,6.7,185.0,100.0,750.0,338.0,124.0,42490.0,5.4,32.43,685.32,Mid-range (€30k–€60k)
Nissan,Ariya 63kWh,335.0,351.0,63.0,1.98,5.0,C,7.5,188.0,90.0,750.0,468.0,127.0,47490.0,5.32,28.72,753.81,Mid-range (€30k–€60k)
Mercedes-Benz,EQE 300 (MY23),525.0,566.0,89.0,2.405,5.0,E,7.3,170.0,120.0,750.0,430.0,137.0,67187.0,5.9,42.35,754.91,Premium (€60k–€90k)
Volvo,EX40 Single Motor (MY25),345.0,383.0,67.0,2.04,5.0,C,7.3,194.0,110.0,750.0,441.0,144.0,49990.0,5.15,34.02,746.12,Mid-range (€30k–€60k)
Škoda,Enyaq Coupe 85 (MY25),470.0,493.0,77.0,2.14,5.0,C,6.7,164.0,120.0,750.0,570.0,107.0,51150.0,6.1,43.9,664.29,Mid-range (€30k–€60k)
BMW,i4 eDrive35,435.0,493.0,67.1,2.07,5.0,D,6.0,154.0,95.0,750.0,470.0,136.0,57600.0,6.48,37.01,858.42,Mid-range (€30k–€60k)
Opel,Corsa Electric 54 kWh (MY25),335.0,357.0,50.8,1.544,5.0,B,8.1,152.0,85.0,750.0,267.0,93.0,31490.0,6.59,33.55,619.88,Mid-range (€30k–€60k)
Mercedes-Benz,EQS 580 4MATIC,590.0,654.0,108.4,2.635,5.0,F,4.3,184.0,173.0,750.0,620.0,267.0,141705.0,5.44,56.41,1307.24,Luxury (€90k–€150k)
Ford,Capri Extended Range AWD,455.0,517.0,79.0,2.175,5.0,D,5.3,174.0,135.0,750.0,572.0,128.0,54831.0,5.76,46.55,694.06,Mid-range (€30k–€60k)
NIO,EL6 Long Range,435.0,471.0,90.0,2.398,5.0,E,4.5,207.0,135.0,750.0,579.0,174.0,74500.0,4.83,39.13,827.78,Premium (€60k–€90k)
Kia,EV6 Standard Range 2WD,345.0,425.0,60.0,1.955,5.0,C,8.7,174.0,150.0,750.0,542.0,131.0,44990.0,5.75,51.72,749.83,Mid-range (€30k–€60k)
Zeekr,7X Premium RWD,375.0,484.0,71.0,2.395,5.0,D,6.0,189.0,240.0,750.0,605.0,144.0,44990.0,5.28,76.19,633.66,Mid-range (€30k–€60k)
Hyundai,IONIQ 9 Performance AWD,485.0,550.0,106.0,2.689,7.0,F,5.2,219.0,195.0,750.0,390.0,177.0,86750.0,4.58,53.42,818.4,Premium (€60k–€90k)
Škoda,Enyaq 85x (MY26),455.0,501.0,77.0,2.186,5.0,C,6.7,169.0,120.0,750.0,585.0,113.0,51500.0,5.91,42.6,668.83,Mid-range (€30k–€60k)
BMW,iX3 (MY21),385.0,411.0,74.0,2.26,5.0,D,6.8,192.0,104.0,750.0,510.0,175.0,67300.0,5.2,32.5,909.46,Premium (€60k–€90k)
Audi,Q4 e-tron 35,285.0,301.0,52.0,1.965,5.0,C,9.0,182.0,70.0,750.0,520.0,173.0,44700.0,5.48,23.08,859.62,Mid-range (€30k–€60k)
Opel,Grandland Electric 97 kWh,490.0,498.0,96.9,2.255,5.0,C,8.8,198.0,130.0,750.0,550.0,104.0,51750.0,5.06,39.39,534.06,Mid-range (€30k–€60k)
Volkswagen,ID.3 Pro S (MY24-25),465.0,511.0,77.0,1.957,5.0,C,7.1,166.0,120.0,750.0,385.0,92.0,47595.0,6.04,43.37,618.12,Mid-range (€30k–€60k)
Peugeot,e-208 54 kWh (MY25),335.0,359.0,50.8,1.53,5.0,B,8.2,152.0,85.0,750.0,309.0,105.0,37525.0,6.59,33.55,738.68,Mid-range (€30k–€60k)
Mini,Cooper SE,180.0,183.0,28.9,1.44,4.0,B,7.3,161.0,44.0,750.0,211.0,179.0,32500.0,6.23,16.4,1124.57,Mid-range (€30k–€60k)
XPENG,G9 AWD Performance (MY25),465.0,600.0,92.2,2.47,5.0,E,4.2,198.0,330.0,750.0,731.0,160.0,72600.0,5.04,100.0,787.42,Premium (€60k–€90k)
Toyota,Proace Verso L 75 kWh,265.0,252.0,69.0,2.24,9.0,N,13.3,260.0,79.0,750.0,989.0,227.0,65840.0,3.84,18.23,954.2,Premium (€60k–€90k)
Tesla,Model S Performance,535.0,595.0,98.0,2.307,5.0,F,2.8,183.0,125.0,750.0,894.0,194.0,98990.0,5.46,40.98,1010.1,Luxury (€90k–€150k)
Polestar,3 Long Range Dual motor (MY23-25),515.0,555.0,107.0,2.654,5.0,E,5.0,208.0,150.0,750.0,516.0,168.0,85590.0,4.81,43.27,799.91,Premium (€60k–€90k)
Volvo,EX40 Single Motor ER (MY25),400.0,441.0,79.0,2.075,5.0,C,7.3,198.0,125.0,750.0,441.0,135.0,55490.0,5.06,37.88,702.41,Mid-range (€30k–€60k)
DS,N°8 FWD Long Range,545.0,566.0,97.2,2.255,5.0,D,7.8,178.0,130.0,750.0,620.0,115.0,63200.0,5.61,43.82,650.21,Premium (€60k–€90k)
Tesla,Model X Long Range,440.0,463.0,95.0,2.505,7.0,F,4.6,216.0,110.0,750.0,385.0,206.0,85990.0,4.63,30.56,905.16,Premium (€60k–€90k)
Smart,#1 Brabus,325.0,357.0,62.0,1.975,5.0,B,3.9,191.0,100.0,750.0,328.0,152.0,48990.0,5.24,31.41,790.16,Mid-range (€30k–€60k)
Audi,Q4 e-tron 55 quattro,395.0,437.0,77.0,2.235,5.0,C,5.4,195.0,120.0,750.0,520.0,160.0,59000.0,5.13,36.92,766.23,Mid-range (€30k–€60k)
Toyota,Urban Cruiser 61.1 kWh AWD,310.0,286.0,59.8,1.935,5.0,B,7.4,193.0,60.0,750.0,238.0,130.0,40990.0,5.18,18.65,685.45,Mid-range (€30k–€60k)
Nissan,LEAF 30 kWh (MY15-17),170.0,173.0,28.0,1.538,5.0,C,11.5,165.0,45.0,750.0,370.0,191.0,33960.0,6.07,16.36,1212.86,Mid-range (€30k–€60k)
Volvo,C40 Recharge Twin Motor (MY24),400.0,443.0,79.0,2.185,5.0,C,4.7,198.0,125.0,750.0,450.0,154.0,61400.0,5.06,37.88,777.22,Premium (€60k–€90k)
NIO,EL8 Long Range,440.0,524.0,90.0,2.633,6.0,F,4.1,205.0,190.0,750.0,265.0,232.0,103900.0,4.89,55.61,1154.44,Luxury (€90k–€150k)
Volvo,ES90 Twin Motor (MY26),530.0,635.0,102.0,2.628,5.0,F,5.5,192.0,200.0,750.0,468.0,170.0,88990.0,5.2,62.5,872.45,Premium (€60k–€90k)
Opel,Frontera Electric 54 kWh,290.0,298.0,53.5,1.61,5.0,B,13.0,184.0,70.0,550.0,460.0,108.0,31190.0,5.42,22.83,582.99,Mid-range (€30k–€60k)
Mercedes-Benz,EQS 450+,635.0,703.0,107.8,2.48,5.0,F,6.2,170.0,173.0,750.0,610.0,179.0,109551.0,5.89,61.06,1016.24,Luxury (€90k–€150k)
Volvo,EX90 Twin Motor Performance (MY24-25),485.0,523.0,107.0,2.762,7.0,F,4.9,221.0,150.0,750.0,703.0,213.0,96800.0,4.53,40.72,904.67,Luxury (€90k–€150k)
Abarth,500e Convertible,225.0,251.0,37.8,1.435,4.0,B,7.0,168.0,67.0,750.0,185.0,182.0,40990.0,5.95,23.93,1084.39,Mid-range (€30k–€60k)
Ford,Mustang Mach-E ER RWD (MY21),465.0,436.0,88.0,2.16,5.0,D,7.0,189.0,86.0,750.0,619.0,120.0,54475.0,5.28,27.3,619.03,Mid-range (€30k–€60k)
XPENG,G9 AWD Performance (MY24),465.0,577.0,93.1,2.415,5.0,E,3.9,200.0,224.0,750.0,731.0,156.0,71600.0,4.99,67.2,769.07,Premium (€60k–€90k)
MG,IM5 Performance,490.0,621.0,96.5,2.298,5.0,D,3.2,197.0,250.0,750.0,475.0,114.0,44990.0,5.08,76.14,466.22,Mid-range (€30k–€60k)
Audi,e-tron GT RS,405.0,511.0,85.0,2.42,4.0,F,3.3,210.0,216.0,750.0,451.0,361.0,146050.0,4.76,61.71,1718.24,Luxury (€90k–€150k)
Citroën,ë-C4 54 kWh,325.0,348.0,50.8,1.646,5.0,C,9.1,156.0,78.0,750.0,380.0,109.0,34100.0,6.4,30.0,671.26,Mid-range (€30k–€60k)
BMW,i5 eDrive40 Sedan (MY25),480.0,547.0,81.2,2.195,5.0,E,6.0,169.0,136.0,750.0,490.0,157.0,70200.0,5.91,48.28,864.53,Premium (€60k–€90k)
Jaguar,I-Pace EV400,380.0,360.0,84.7,2.208,5.0,D,4.8,223.0,85.0,750.0,505.0,207.0,76815.0,4.49,22.87,906.91,Premium (€60k–€90k)
BMW,i5 eDrive40 Touring,455.0,522.0,81.2,2.255,5.0,E,6.1,178.0,136.0,750.0,570.0,171.0,72200.0,5.6,45.84,889.16,Premium (€60k–€90k)
Tesla,Model X 75D,335.0,336.0,72.5,2.427,7.0,F,5.2,216.0,80.0,750.0,385.0,283.0,93500.0,4.62,22.22,1289.66,Luxury (€90k–€150k)
BMW,iX M60,485.0,515.0,105.2,2.659,5.0,E,3.8,217.0,149.0,750.0,500.0,285.0,136100.0,4.61,41.2,1293.73,Luxury (€90k–€150k)
Volvo,XC40 Recharge Twin Motor (MY24),385.0,419.0,79.0,2.17,5.0,C,4.8,205.0,125.0,750.0,441.0,155.0,59950.0,4.87,36.59,758.86,Mid-range (€30k–€60k)
Tesla,Model S 70D,350.0,369.0,66.5,2.156,5.0,F,5.4,190.0,95.0,750.0,895.0,240.0,83500.0,5.26,30.0,1255.64,Premium (€60k–€90k)
Polestar,2 Standard Range Single Motor (MY26),405.0,460.0,67.0,2.02,5.0,D,6.4,165.0,110.0,750.0,448.0,120.0,48990.0,6.04,40.0,731.19,Mid-range (€30k–€60k)
Lucid,Air Grand Touring (MY23-24),665.0,763.0,112.0,2.435,5.0,F,3.0,168.0,184.0,750.0,910.0,196.0,129000.0,5.94,65.71,1151.79,Luxury (€90k–€150k)
Polestar,2 Long Range Single Motor (MY25),475.0,533.0,79.0,2.084,5.0,D,6.2,166.0,125.0,750.0,448.0,112.0,52690.0,6.01,45.18,666.96,Mid-range (€30k–€60k)
Škoda,Enyaq 60 (MY25),360.0,416.0,59.0,2.002,5.0,C,8.1,164.0,110.0,750.0,585.0,121.0,44400.0,6.1,40.24,752.54,Mid-range (€30k–€60k)
Volkswagen,ID.4 1st,410.0,436.0,77.0,2.124,5.0,C,8.5,188.0,125.0,750.0,543.0,116.0,48691.0,5.32,39.89,632.35,Mid-range (€30k–€60k)
Audi,A6 Sportback e-tron,485.0,587.0,75.8,2.175,5.0,E,6.0,156.0,150.0,750.0,529.0,137.0,62800.0,6.4,57.69,828.5,Premium (€60k–€90k)
Smart,#3 Brabus,350.0,372.0,62.0,1.985,5.0,B,3.7,177.0,100.0,750.0,385.0,145.0,50990.0,5.65,33.9,822.42,Mid-range (€30k–€60k)
Peugeot,e-308 (MY23-25),300.0,324.0,50.8,1.759,5.0,C,9.8,169.0,80.0,750.0,412.0,137.0,42435.0,5.91,28.4,835.33,Mid-range (€30k–€60k)
Polestar,2 Long Range Dual Motor (MY24),450.0,507.0,79.0,2.183,5.0,D,4.5,176.0,125.0,750.0,446.0,125.0,52275.0,5.7,42.61,661.71,Mid-range (€30k–€60k)
Lexus,UX 300e,340.0,291.0,64.0,1.85,5.0,C,7.5,188.0,35.0,750.0,316.0,135.0,44990.0,5.31,11.17,702.97,Mid-range (€30k–€60k)
BYD,TANG,355.0,342.0,86.4,2.705,7.0,E,4.6,243.0,109.0,750.0,235.0,199.0,71400.0,4.11,26.91,826.39,Premium (€60k–€90k)
MG,MG4 Electric XPOWER,320.0,361.0,61.7,1.878,5.0,C,3.8,193.0,115.0,500.0,363.0,137.0,46990.0,5.19,35.75,761.59,Mid-range (€30k–€60k)
Kia,EV4 Hatchback 58.3 kWh,340.0,364.0,55.0,1.805,5.0,C,7.4,162.0,80.0,500.0,435.0,113.0,37590.0,6.18,29.63,683.45,Mid-range (€30k–€60k)
Suzuki,e VITARA 61 kWh 4WD AllGrip,310.0,286.0,59.8,1.935,5.0,B,7.4,193.0,60.0,750.0,238.0,125.0,44990.0,5.18,18.65,752.34,Mid-range (€30k–€60k)
Smart,EQ forfour,95.0,66.0,16.7,1.2,4.0,A,12.7,176.0,0.0,750.0,185.0,241.0,19120.0,5.69,0.0,1144.91,Budget (<€30k)
BMW,i4 eDrive35,430.0,487.0,67.0,2.065,5.0,D,6.0,156.0,95.0,750.0,470.0,134.0,56500.0,6.42,36.54,843.28,Mid-range (€30k–€60k)
BMW,i7 M70 xDrive,490.0,534.0,101.7,2.77,5.0,F,3.7,208.0,159.0,750.0,500.0,381.0,181800.0,4.82,45.87,1787.61,Ultra-Luxury (>€150k)
Renault,Kangoo E-Tech Electric,225.0,221.0,45.0,1.871,5.0,N,12.6,200.0,50.0,750.0,950.0,159.0,35850.0,5.0,15.0,796.67,Mid-range (€30k–€60k)
BMW,i7 eDrive50,520.0,572.0,101.7,2.595,5.0,F,5.5,196.0,159.0,750.0,500.0,227.0,115700.0,5.11,48.67,1137.66,Luxury (€90k–€150k)
MG,MG5 Electric Standard Range,265.0,276.0,46.0,1.637,5.0,C,7.7,174.0,60.0,500.0,479.0,139.0,35490.0,5.76,20.69,771.52,Mid-range (€30k–€60k)
Volkswagen,ID.4 GTX,400.0,434.0,77.0,2.239,5.0,C,6.3,193.0,115.0,750.0,543.0,147.0,53255.0,5.19,35.75,691.62,Mid-range (€30k–€60k)
Tesla,Model S 75,380.0,386.0,72.5,2.102,5.0,F,4.6,191.0,80.0,750.0,895.0,189.0,69970.0,5.24,25.13,965.1,Premium (€60k–€90k)
Volkswagen,ID. Buzz LWB GTX ,380.0,425.0,86.0,2.758,7.0,N,6.5,226.0,145.0,750.0,385.0,196.0,74928.0,4.42,38.5,871.26,Premium (€60k–€90k)
XPENG,G6 AWD Performance (MY24),475.0,565.0,87.5,2.195,5.0,D,4.1,184.0,180.0,750.0,571.0,111.0,51600.0,5.43,58.7,589.71,Mid-range (€30k–€60k)
Mazda,MX-30,170.0,159.0,30.0,1.72,5.0,C,9.7,176.0,34.0,750.0,366.0,198.0,34490.0,5.67,11.59,1149.67,Mid-range (€30k–€60k)
XPENG,G9 RWD Standard Range (MY24),395.0,478.0,75.8,2.285,5.0,E,6.4,192.0,170.0,750.0,731.0,150.0,59600.0,5.21,53.12,786.28,Mid-range (€30k–€60k)
MG,MG5 EV,290.0,290.0,48.8,1.607,5.0,C,7.7,168.0,60.0,750.0,464.0,103.0,44990.0,5.94,21.43,921.93,Mid-range (€30k–€60k)
Volkswagen,ID.4 Pro,410.0,436.0,77.0,2.123,5.0,C,10.4,188.0,125.0,750.0,543.0,126.0,44990.0,5.32,39.89,584.29,Mid-range (€30k–€60k)
Mini,Cooper E,250.0,267.0,36.6,1.615,4.0,B,7.3,146.0,60.0,750.0,200.0,138.0,32900.0,6.83,24.66,898.91,Mid-range (€30k–€60k)
Peugeot,e-2008,270.0,294.0,46.3,1.623,5.0,B,8.5,171.0,78.0,750.0,434.0,146.0,37900.0,5.83,27.37,818.57,Mid-range (€30k–€60k)
Volvo,XC40 Recharge Single Motor ER (MY24),400.0,441.0,79.0,2.075,5.0,C,7.3,198.0,125.0,750.0,441.0,131.0,53000.0,5.06,37.88,670.89,Mid-range (€30k–€60k)
Audi,e-tron GT RS performance,525.0,693.0,97.0,2.395,4.0,F,2.5,185.0,281.0,750.0,427.0,311.0,160500.0,5.41,91.14,1654.64,Ultra-Luxury (>€150k)
Polestar,3 Long Range Performance (MY23-25),480.0,516.0,107.0,2.654,5.0,E,4.7,223.0,150.0,750.0,516.0,194.0,92190.0,4.49,40.36,861.59,Luxury (€90k–€150k)
Volkswagen,ID.7 Pro S (MY24-25),525.0,600.0,86.0,2.226,5.0,E,6.6,164.0,145.0,750.0,532.0,114.0,58985.0,6.1,53.05,685.87,Mid-range (€30k–€60k)
Audi,e-tron GT quattro,540.0,712.0,97.0,2.355,4.0,F,4.0,180.0,281.0,750.0,482.0,192.0,108900.0,5.57,93.67,1122.68,Luxury (€90k–€150k)
